InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV-536365,PROD-007,Ergonomic Office Chair,4,01-01-2025 11:44,199,CUST-1110,France
INV-536365,PROD-005,Bluetooth Headphones,4,01-01-2025 11:44,59.99,CUST-1110,France
INV-536365,PROD-002,Mechanical Keyboard,4,01-01-2025 11:44,85,CUST-1110,France
INV-536366,PROD-004,27-inch Monitor,1,01-01-2025 12:34,249.99,CUST-1127,United Kingdom
INV-536367,PROD-002,Mechanical Keyboard,2,01-01-2025 15:57,85,CUST-1198,France
INV-536367,PROD-003,USB-C Hub,1,01-01-2025 15:57,35,CUST-1198,France
INV-536367,PROD-008,Laptop Stand,3,01-01-2025 15:57,29.99,CUST-1198,France
INV-536368,PROD-006,Desk Mat,18,01-01-2025 16:21,15.5,CUST-1035,Germany
INV-536369,PROD-006,Desk Mat,1,01-01-2025 16:55,15.5,CUST-1172,United Kingdom
INV-536369,PROD-007,Ergonomic Office Chair,3,01-01-2025 16:55,199,CUST-1172,United Kingdom
INV-536370,PROD-002,Mechanical Keyboard,7,01-01-2025 17:33,85,CUST-1090,United Kingdom
INV-536370,PROD-003,USB-C Hub,14,01-01-2025 17:33,35,CUST-1090,United Kingdom
INV-536370,PROD-006,Desk Mat,7,01-01-2025 17:33,15.5,CUST-1090,United Kingdom
INV-536370,PROD-001,Wireless Mouse,14,01-01-2025 17:33,25,CUST-1090,United Kingdom
INV-536371,PROD-007,Ergonomic Office Chair,1,02-01-2025 09:47,199,CUST-1113,Germany
INV-536371,PROD-008,Laptop Stand,1,02-01-2025 09:47,29.99,CUST-1113,Germany
INV-536371,PROD-002,Mechanical Keyboard,1,02-01-2025 09:47,85,CUST-1113,Germany
INV-536372,PROD-007,Ergonomic Office Chair,1,02-01-2025 10:27,199,CUST-1113,France
INV-536372,PROD-006,Desk Mat,3,02-01-2025 10:27,15.5,CUST-1113,France
INV-536372,PROD-004,27-inch Monitor,1,02-01-2025 10:27,249.99,CUST-1113,France
INV-536372,PROD-002,Mechanical Keyboard,1,02-01-2025 10:27,85,CUST-1113,France
INV-536373,PROD-005,Bluetooth Headphones,2,02-01-2025 10:40,59.99,CUST-1011,United Kingdom
INV-536374,PROD-001,Wireless Mouse,3,02-01-2025 12:47,25,CUST-1101,United Kingdom
INV-536374,PROD-008,Laptop Stand,2,02-01-2025 12:47,29.99,CUST-1101,United Kingdom
INV-536374,PROD-004,27-inch Monitor,3,02-01-2025 12:47,249.99,CUST-1101,United Kingdom
INV-536375,PROD-001,Wireless Mouse,2,02-01-2025 14:02,25,CUST-1117,United Kingdom
INV-536376,PROD-007,Ergonomic Office Chair,2,02-01-2025 16:13,199,CUST-1143,Germany
INV-536376,PROD-008,Laptop Stand,2,02-01-2025 16:13,29.99,CUST-1143,Germany
INV-536377,PROD-008,Laptop Stand,1,02-01-2025 17:15,29.99,CUST-1156,United Kingdom
INV-536378,PROD-005,Bluetooth Headphones,8,02-01-2025 17:55,59.99,CUST-1060,United Kingdom
INV-536378,PROD-006,Desk Mat,8,02-01-2025 17:55,15.5,CUST-1060,United Kingdom
INV-536379,PROD-001,Wireless Mouse,3,03-01-2025 12:15,25,CUST-1008,United Kingdom
INV-536379,PROD-006,Desk Mat,3,03-01-2025 12:15,15.5,CUST-1008,United Kingdom
INV-536380,PROD-007,Ergonomic Office Chair,3,03-01-2025 12:24,199,CUST-1062,United Kingdom
INV-536381,PROD-003,USB-C Hub,3,03-01-2025 14:21,35,CUST-1101,United Kingdom
INV-536381,PROD-004,27-inch Monitor,3,03-01-2025 14:21,249.99,CUST-1101,United Kingdom
INV-536381,PROD-001,Wireless Mouse,1,03-01-2025 14:21,25,CUST-1101,United Kingdom
INV-536381,PROD-005,Bluetooth Headphones,3,03-01-2025 14:21,59.99,CUST-1101,United Kingdom
INV-536382,PROD-004,27-inch Monitor,3,03-01-2025 14:43,249.99,CUST-1018,Germany
INV-536382,PROD-008,Laptop Stand,2,03-01-2025 14:43,29.99,CUST-1018,Germany
INV-536383,PROD-008,Laptop Stand,1,03-01-2025 16:05,29.99,CUST-1169,France
INV-536383,PROD-002,Mechanical Keyboard,2,03-01-2025 16:05,85,CUST-1169,France
INV-536383,PROD-003,USB-C Hub,3,03-01-2025 16:05,35,CUST-1169,France
INV-536383,PROD-005,Bluetooth Headphones,1,03-01-2025 16:05,59.99,CUST-1169,France
