CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST-1001,230,12,5471.78,1,3,2,132,Need Attention / Average
CUST-1002,6,10,4519.81,5,2,2,522,Recent/New Customers
CUST-1003,7,7,1717.88,5,1,1,511,Recent/New Customers
CUST-1004,15,11,3266.8,4,2,1,421,Recent/New Customers
CUST-1005,23,8,17375.84,3,1,5,315,Need Attention / Average
CUST-1006,1,9,2878.33,5,1,1,511,Recent/New Customers
CUST-1007,14,11,5565.73,4,2,3,423,Recent/New Customers
CUST-1008,238,14,6558.71,1,4,3,143,At Risk/ Can't Lose Them
CUST-1009,84,9,3315.38,1,1,1,111,Lost Customers/ Hibernating
CUST-1010,67,10,18321.67,1,2,5,125,Lost Customers/ Hibernating
CUST-1011,7,12,7253.75,5,3,4,534,Need Attention / Average
CUST-1012,35,15,6190.27,2,4,3,243,At Risk/ Can't Lose Them
CUST-1013,168,9,4857.25,1,1,2,112,Lost Customers/ Hibernating
CUST-1014,14,13,5393.28,4,3,2,432,Need Attention / Average
CUST-1015,42,10,17466.19,2,2,5,225,Lost Customers/ Hibernating
CUST-1016,33,8,4550.25,3,1,2,312,Need Attention / Average
CUST-1017,13,15,6132.69,4,4,3,443,Loyal Customers
CUST-1018,12,12,6046.79,4,3,3,433,Need Attention / Average
CUST-1019,33,14,5895.27,3,4,3,343,Loyal Customers
CUST-1020,84,10,23391.31,1,2,5,125,Lost Customers/ Hibernating
CUST-1021,46,14,5615.3,2,4,3,243,At Risk/ Can't Lose Them
CUST-1022,215,11,5230.76,1,2,2,122,Lost Customers/ Hibernating
CUST-1023,4,13,5995.83,5,3,3,533,Need Attention / Average
CUST-1024,27,10,6158.81,3,2,3,323,Need Attention / Average
CUST-1025,38,19,35970.13,2,5,5,255,At Risk/ Can't Lose Them
CUST-1026,46,16,5386.81,2,5,2,252,Need Attention / Average
CUST-1027,92,6,2161.87,1,1,1,111,Lost Customers/ Hibernating
CUST-1028,14,15,7607.15,4,4,4,444,Champions
CUST-1029,217,15,5926.7,1,4,3,143,At Risk/ Can't Lose Them
CUST-1030,34,12,27473.95,2,3,5,235,At Risk/ Can't Lose Them
CUST-1031,2,16,7001.17,5,5,4,554,Champions
CUST-1032,23,7,2314.88,3,1,1,311,Need Attention / Average
CUST-1033,48,10,4339.78,2,2,2,222,Lost Customers/ Hibernating
CUST-1034,21,13,6200.15,3,3,3,333,Need Attention / Average
CUST-1035,34,14,29243.98,2,4,5,245,At Risk/ Can't Lose Them
CUST-1036,242,8,4372.89,1,1,2,112,Lost Customers/ Hibernating
CUST-1037,75,8,4053.72,1,1,1,111,Lost Customers/ Hibernating
CUST-1038,60,13,5877.77,2,3,3,233,At Risk/ Can't Lose Them
CUST-1039,30,12,4052.38,3,3,1,331,Need Attention / Average
CUST-1040,13,8,11439.44,4,1,4,414,Recent/New Customers
CUST-1041,4,7,3221.34,5,1,1,511,Recent/New Customers
CUST-1042,51,10,5693.33,2,2,3,223,Lost Customers/ Hibernating
CUST-1043,240,9,3765.86,1,1,1,111,Lost Customers/ Hibernating
CUST-1044,63,6,2696.86,2,1,1,211,Lost Customers/ Hibernating
CUST-1045,21,9,26967.58,3,1,5,315,Need Attention / Average
CUST-1046,2,16,5873.16,5,5,3,553,Loyal Customers
CUST-1047,14,14,5607.69,4,4,3,443,Loyal Customers
CUST-1048,73,14,5299.77,1,4,2,142,Need Attention / Average
CUST-1049,16,13,4773.79,4,3,2,432,Need Attention / Average
CUST-1050,7,7,22531.72,5,1,5,515,Recent/New Customers
CUST-1051,24,10,4001.34,3,2,1,321,Need Attention / Average
CUST-1052,4,14,4957.77,5,4,2,542,Need Attention / Average
CUST-1053,1,11,6005.23,5,2,3,523,Recent/New Customers
CUST-1054,23,12,5248.31,3,3,2,332,Need Attention / Average
CUST-1055,7,8,14548.14,5,1,5,515,Recent/New Customers
CUST-1056,6,13,4372.91,5,3,2,532,Need Attention / Average
CUST-1057,220,20,8929.57,1,5,4,154,At Risk/ Can't Lose Them
CUST-1058,40,10,4747.3,2,2,2,222,Lost Customers/ Hibernating
CUST-1059,12,13,5372.2,4,3,2,432,Need Attention / Average
CUST-1060,35,14,44033.98,2,4,5,245,At Risk/ Can't Lose Them
CUST-1061,42,12,4927.76,2,3,2,232,Need Attention / Average
CUST-1062,11,11,3928.83,4,2,1,421,Recent/New Customers
CUST-1063,19,13,6226.68,4,3,3,433,Need Attention / Average
CUST-1064,218,6,2868.87,1,1,1,111,Lost Customers/ Hibernating
CUST-1065,10,16,37106,4,5,5,455,Champions
CUST-1066,5,9,4873.85,5,1,2,512,Recent/New Customers
CUST-1067,24,12,4088.84,3,3,1,331,Need Attention / Average
CUST-1068,22,14,5468.27,3,4,2,342,Need Attention / Average
CUST-1069,15,20,7740.11,4,5,4,454,Champions
CUST-1070,2,9,26921.49,5,1,5,515,Recent/New Customers
CUST-1071,219,12,6447.65,1,3,3,133,At Risk/ Can't Lose Them
CUST-1072,21,16,7397.13,3,5,4,354,Loyal Customers
CUST-1073,9,19,9085.11,4,5,4,454,Champions
CUST-1074,6,13,4130.31,5,3,1,531,Need Attention / Average
CUST-1075,40,12,29123.26,2,3,5,235,At Risk/ Can't Lose Them
CUST-1076,12,8,3195.84,4,1,1,411,Recent/New Customers
CUST-1077,34,10,6247.21,2,2,3,223,Lost Customers/ Hibernating
CUST-1078,288,5,1380.45,1,1,1,111,Lost Customers/ Hibernating
CUST-1079,50,7,3318.88,2,1,1,211,Lost Customers/ Hibernating
CUST-1080,92,13,22919.32,1,3,5,135,At Risk/ Can't Lose Them
CUST-1081,1,18,9045.13,5,5,4,554,Champions
CUST-1082,32,18,9072.61,3,5,4,354,Loyal Customers
CUST-1083,80,16,9925.57,1,5,4,154,At Risk/ Can't Lose Them
CUST-1084,1,14,5272.75,5,4,2,542,Need Attention / Average
CUST-1085,17,11,17646.99,4,2,5,425,Recent/New Customers
CUST-1086,29,14,6642.73,3,4,3,343,Loyal Customers
CUST-1087,3,17,6476.64,5,5,3,553,Loyal Customers
CUST-1088,29,15,6031.18,3,4,3,343,Loyal Customers
CUST-1089,37,14,5783.75,2,4,3,243,At Risk/ Can't Lose Them
CUST-1090,34,10,29871.21,2,2,5,225,Lost Customers/ Hibernating
CUST-1091,5,9,4277.34,5,1,2,512,Recent/New Customers
CUST-1092,227,16,9382.06,1,5,4,154,At Risk/ Can't Lose Them
CUST-1093,30,13,6877.16,3,3,4,334,Need Attention / Average
CUST-1094,27,10,3087.84,3,2,1,321,Need Attention / Average
CUST-1095,17,10,23724.38,4,2,5,425,Recent/New Customers
CUST-1096,20,11,4755.19,3,2,2,322,Need Attention / Average
CUST-1097,77,11,4706.8,1,2,2,122,Lost Customers/ Hibernating
CUST-1098,32,13,4783.29,3,3,2,332,Need Attention / Average
CUST-1099,219,15,7068.71,1,4,4,144,At Risk/ Can't Lose Them
CUST-1100,58,14,24801.29,2,4,5,245,At Risk/ Can't Lose Them
CUST-1101,25,11,6201.63,3,2,3,323,Need Attention / Average
CUST-1102,17,11,7747.15,4,2,4,424,Recent/New Customers
CUST-1103,7,11,5703.77,5,2,3,523,Recent/New Customers
CUST-1104,43,10,3351.37,2,2,1,221,Lost Customers/ Hibernating
CUST-1105,11,20,37790.32,4,5,5,455,Champions
CUST-1106,227,13,6298.22,1,3,3,133,At Risk/ Can't Lose Them
CUST-1107,9,9,4088.87,4,1,1,411,Recent/New Customers
CUST-1108,33,16,7999.83,3,5,4,354,Loyal Customers
CUST-1109,2,13,4640.77,5,3,2,532,Need Attention / Average
CUST-1110,32,13,17980.39,3,3,5,335,Need Attention / Average
CUST-1111,12,19,8328.23,4,5,4,454,Champions
CUST-1112,49,13,6528.73,2,3,3,233,At Risk/ Can't Lose Them
CUST-1113,217,13,7046.81,1,3,4,134,At Risk/ Can't Lose Them
CUST-1114,86,11,2963.82,1,2,1,121,Lost Customers/ Hibernating
CUST-1115,1,15,32394.11,5,4,5,545,Champions
CUST-1116,17,15,8157.18,4,4,4,444,Champions
CUST-1117,11,16,6749.82,4,5,4,454,Champions
CUST-1118,106,10,4538.36,1,2,2,122,Lost Customers/ Hibernating
CUST-1119,52,10,4438.8,2,2,2,222,Lost Customers/ Hibernating
CUST-1120,39,10,13207.91,2,2,5,225,Lost Customers/ Hibernating
CUST-1121,1,8,2497.44,5,1,1,511,Recent/New Customers
CUST-1122,20,11,5716.27,3,2,3,323,Need Attention / Average
CUST-1123,8,12,8073.7,4,3,4,434,Need Attention / Average
CUST-1124,60,10,1971.36,2,2,1,221,Lost Customers/ Hibernating
CUST-1125,6,19,46626.18,5,5,5,555,Champions
CUST-1126,23,10,4306.23,3,2,2,322,Need Attention / Average
CUST-1127,216,20,10635.02,1,5,4,154,At Risk/ Can't Lose Them
CUST-1128,13,15,6560.71,4,4,3,443,Loyal Customers
CUST-1129,55,13,4620.81,2,3,2,232,Need Attention / Average
CUST-1130,16,15,32346.46,4,4,5,445,Champions
CUST-1131,30,15,5393.78,3,4,2,342,Need Attention / Average
CUST-1132,1,8,3373.81,5,1,1,511,Recent/New Customers
CUST-1133,29,13,5494.22,3,4,3,343,Loyal Customers
CUST-1134,231,19,8280.55,1,5,4,154,At Risk/ Can't Lose Them
CUST-1135,1,11,24419.99,5,2,5,525,Recent/New Customers
CUST-1136,4,9,2269.39,5,1,1,511,Recent/New Customers
CUST-1137,27,17,8870.72,3,5,4,354,Loyal Customers
CUST-1138,8,16,6528.18,4,5,3,453,Loyal Customers
CUST-1139,1,11,4890.7,5,2,2,522,Recent/New Customers
CUST-1140,7,12,25926.9,5,3,5,535,Need Attention / Average
CUST-1141,221,8,2814.39,1,1,1,111,Lost Customers/ Hibernating
CUST-1142,10,6,2856.4,4,1,1,411,Recent/New Customers
CUST-1143,3,14,5425.82,5,4,2,542,Need Attention / Average
CUST-1144,19,16,8965.18,4,5,4,454,Champions
CUST-1145,79,14,24670.89,1,4,5,145,At Risk/ Can't Lose Them
CUST-1146,27,12,2005.87,3,3,1,331,Need Attention / Average
CUST-1147,43,18,6591.16,2,5,3,253,At Risk/ Can't Lose Them
CUST-1148,222,16,7078.28,1,5,4,154,At Risk/ Can't Lose Them
CUST-1149,9,17,7941.68,4,5,4,454,Champions
CUST-1150,9,11,22130.2,4,2,5,425,Recent/New Customers
CUST-1151,1,15,5643.72,5,4,3,543,Loyal Customers
CUST-1152,62,13,6783.72,2,4,4,244,At Risk/ Can't Lose Them
CUST-1153,32,7,3194.35,3,1,1,311,Need Attention / Average
CUST-1154,19,20,9830.67,4,5,4,454,Champions
CUST-1155,120,8,13604.46,1,1,5,115,Lost Customers/ Hibernating
CUST-1156,66,15,5772.21,2,4,3,243,At Risk/ Can't Lose Them
CUST-1157,31,11,4799.33,3,3,2,332,Need Attention / Average
CUST-1158,17,16,7432.65,4,5,4,454,Champions
CUST-1159,27,6,3875.82,3,1,1,311,Need Attention / Average
CUST-1160,11,10,26783.3,4,2,5,425,Recent/New Customers
CUST-1161,49,12,4930.23,2,3,2,232,Need Attention / Average
CUST-1162,226,7,3383.9,1,1,1,111,Lost Customers/ Hibernating
CUST-1163,15,17,7709.67,4,5,4,454,Champions
CUST-1164,7,15,5641.7,5,4,3,543,Loyal Customers
CUST-1165,61,10,14515.73,2,2,5,225,Lost Customers/ Hibernating
CUST-1166,7,23,13417,5,5,5,555,Champions
CUST-1167,22,9,5243.76,3,1,2,312,Need Attention / Average
CUST-1168,8,16,5270.84,4,5,2,452,Need Attention / Average
CUST-1169,235,18,7584.71,1,5,4,154,At Risk/ Can't Lose Them
CUST-1170,49,9,20494.71,2,1,5,215,Lost Customers/ Hibernating
CUST-1171,44,11,4354.86,2,3,2,232,Need Attention / Average
CUST-1172,8,14,6920.74,4,4,4,444,Champions
CUST-1173,29,13,5655.71,3,4,3,343,Loyal Customers
